loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),batteryState(R),batteryLevel(Z),state(N)
2017-11-27 14:31:40.114 -0800,11,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.063787,-4.702808380126953,-31.09816551208496,-49.83370590209961,198.7622680664062,182.5149078369141,20,264204.1821210417,-0.1640625,-0.3647308349609375,-0.8820953369140625,264204.1821210417,0.6350552630114231,0.1436264081168454,-0.7014121826284915,264204.1582570417,1.503930452314622,-0.09506272764797177,0.2856573328051575,0.8836765289306641,0.2042828053236008,-0.7987300753593445,-0.003195658326148987,-0.08230176568031311,0.003072202205657959,XArbitraryCorrectedZVertical,0.1359678357839584,0.0627739429473877,0.6704167723655701,0.7267115712165833,-0.09107313305139542,-0.2817882001399994,-0.9551443457603455,-3.626537322998047,-32.64753723144531,-49.44532775878906,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.146 -0800,12,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.114402,-3.122570037841797,-33.34097290039062,-48.65496444702148,200.7964630126953,184.5491027832031,20,264204.2160420417,-0.125030517578125,-0.3266143798828125,-0.876007080078125,264204.2160420417,0.2385140388080416,0.09116000411341232,-0.9887486221204107,264204.1934280417,1.480177193345837,-0.08306294315076769,0.3134671907801483,0.5578362345695496,0.1573014855384827,-0.7251784801483154,-0.1033723056316376,-0.03674930334091187,0.07465344667434692,XArbitraryCorrectedZVertical,0.1428165882825851,0.074888676404953,0.6607275605201721,0.7330965399742126,-0.07892445474863052,-0.3083587288856506,-0.9479902386665344,-2.727775573730469,-33.69965362548828,-48.44669342041016,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.184 -0800,13,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.164475,-1.560886383056641,-34.53379058837891,-48.10556793212891,203.3582611083984,187.1109008789062,20,264204.2487710417,-0.0260009765625,-0.3873138427734375,-0.8983612060546875,264204.2487710417,0.001278317323238034,0.01472941135701025,-0.8822727785779526,264204.2286570417,1.447407084417539,-0.06853545750369994,0.3273926070682335,0.1587444990873337,0.03341919556260109,-0.9736338257789612,0.003992266952991486,-0.03674691915512085,0.04698634147644043,XArbitraryCorrectedZVertical,0.1444316804409027,0.08251690864562988,0.648745059967041,0.7426014542579651,-0.06484432518482208,-0.3215752243995667,-0.9446609020233154,-1.560886383056641,-34.53379058837891,-48.10556793212891,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.214 -0800,14,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.164475,-1.560886383056641,-34.53379058837891,-48.10556793212891,203.3582611083984,187.1109008789062,20,264204.2826920417,0.0063018798828125,-0.3886871337890625,-0.908233642578125,264204.2826920417,0.2970457921941301,0.3734769175827502,-0.8046845096956932,264204.2638280417,1.414220174639417,-0.05724951859795663,0.3306647205763389,0.02816635742783546,0.07257667928934097,-0.8659730553627014,0.03486195206642151,-0.05464643239974976,0.03424280881881714,XArbitraryCorrectedZVertical,0.1434093713760376,0.08541230857372284,0.6369373798370361,0.7526259422302246,-0.05411854013800621,-0.3246718049049377,-0.9442769885063171,-0.7744598388671875,-34.45254516601562,-48.20704650878906,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.258 -0800,15,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.214487,-0.02623748779296875,-34.61032867431641,-48.11457061767578,206.0105438232422,189.76318359375,20,264204.3166140417,0.11578369140625,-0.586273193359375,-0.97625732421875,264204.3166140417,0.5851641357820967,0.6274838960323278,0.02585370154638024,264204.2990570417,1.386273102777324,-0.03737108344891828,0.341646411037925,0.5567789673805237,0.478983074426651,-0.4916762709617615,0.2530221939086914,-0.1940749883651733,-0.1056644320487976,XArbitraryCorrectedZVertical,0.142508864402771,0.09443571418523788,0.6271002292633057,0.7599439024925232,-0.0352029912173748,-0.335038810968399,-0.9415462613105774,0.6939239501953125,-34.88827514648438,-48.03297424316406,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.284 -0800,16,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.265866,1.577610015869141,-35.66056060791016,-47.12128448486328,206.6721496582031,190.4247894287109,20,264204.3493420417,-0.0715789794921875,-0.41741943359375,-0.932586669921875,264204.3493420417,-0.09624371231826458,0.1228596105686255,-0.1779660061606541,264204.3342280417,1.384588066966863,-0.01584851027497577,0.3599744818287278,0.2092683464288712,0.4954056441783905,0.06088752672076225,0.03784234821796417,-0.109205961227417,0.1235321760177612,XArbitraryCorrectedZVertical,0.1427764594554901,0.1082629039883614,0.6268820762634277,0.7582279443740845,-0.01483208872377872,-0.352250337600708,-0.9357880353927612,1.577610015869141,-35.66056060791016,-47.12128448486328,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.330 -0800,17,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.315078,2.710407257080078,-35.79019165039062,-47.13117218017578,207.4093322753906,191.1619720458984,20,264204.3832640417,-0.05206298828125,-0.439300537109375,-0.9311370849609375,264204.3832640417,0.07717840839049632,0.5781275315498893,-0.4464118450923143,264204.3694560417,1.378259531397899,-0.007299163547374035,0.3582498460731365,-0.1359750926494598,0.1685457527637482,-0.3328140079975128,-0.0527651458978653,-0.06960657238960266,0.004800379276275635,XArbitraryCorrectedZVertical,0.1397930830717087,0.1105192750692368,0.6251860857009888,0.7598569989204407,-0.006835691630840302,-0.3506357371807098,-0.9364867806434631,2.334358215332031,-35.87548065185547,-46.70306777954102,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.345 -0800,18,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.315078,2.710407257080078,-35.79019165039062,-47.13117218017578,207.4093322753906,191.1619720458984,20,264204.4171850417,0.0338134765625,-0.462677001953125,-0.9779205322265625,264204.4171850417,1.117369981707423,1.749285111477533,-0.3680320847340832,264204.4046280417,1.36257942248774,0.02009328390420517,0.3626511379933926,0.4050032794475555,0.9947522282600403,-0.3857777118682861,-0.05056919157505035,-0.1092197895050049,0.008211195468902588,XArbitraryCorrectedZVertical,0.1338455677032471,0.1212436854839325,0.6208463907241821,0.7628447413444519,0.01878514140844345,-0.3547541797161102,-0.9347706437110901,3.531318664550781,-36.02071380615234,-47.13981628417969,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.385 -0800,19,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.365486,6.177799224853516,-37.2618408203125,-45.77597045898438,208.7465057373047,192.4991455078125,20,264204.4499130417,0.0322723388671875,-0.4952850341796875,-0.873382568359375,264204.4499130417,2.861755409411428,4.229279840735519,-0.4749854330599925,264204.4398560417,1.344796423503152,0.09644784299196796,0.4073713847022393,2.106877088546753,2.993574619293213,-0.4756422638893127,-0.03971175849437714,-0.06789886951446533,0.03026151657104492,XArbitraryCorrectedZVertical,0.128661260008812,0.1627798974514008,0.61690753698349,0.7591908574104309,0.08841782063245773,-0.3961971998214722,-0.9138979911804199,7.506008148193359,-38.17137908935547,-44.9224967956543,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.417 -0800,20,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.365486,6.177799224853516,-37.2618408203125,-45.77597045898438,208.7465057373047,192.4991455078125,20,264204.4838350417,0.11358642578125,-0.5541839599609375,-0.87030029296875,264204.4838350417,2.937824877524015,4.583159621120813,-0.5453349637833076,264204.4750280417,1.305719943284606,0.2675973078889554,0.5055726282454037,3.197742700576782,4.953502178192139,-0.5174305438995361,-0.2134373039007187,-0.04921504855155945,-0.1049721837043762,XArbitraryCorrectedZVertical,0.1184333562850952,0.2531687021255493,0.6094011664390564,0.7419611811637878,0.23133584856987,-0.4843085110187531,-0.8437582850456238,13.59245300292969,-41.89009857177734,-40.30360412597656,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.446 -0800,21,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.415696,15.62697219848633,-43.05078887939453,-38.34413146972656,212.1239929199219,195.8766326904297,20,264204.5177560417,0.3938140869140625,-0.62908935546875,-0.878204345703125,264204.5177560417,2.079111220897231,2.388792647199351,-0.5358913945578866,264204.4750280417,1.305719943284606,0.2675973078889554,0.5055726282454037,3.197742700576782,4.953502178192139,-0.5174305438995361,-0.2134373039007187,-0.04921504855155945,-0.1049721837043762,XArbitraryCorrectedZVertical,0.1184333562850952,0.2531687021255493,0.6094011664390564,0.7419611811637878,0.23133584856987,-0.4843085110187531,-0.8437582850456238,13.59245300292969,-41.89009857177734,-40.30360412597656,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.495 -0800,22,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821900.069607,49.27718604199571,-122.9074187946666,343.5471,-1,-1,10,65,-9999,1511821900.46636,22.6328239440918,-47.08867645263672,-29.96685981750488,217.0753631591797,200.8280029296875,20,264204.5504850417,0.3702392578125,-0.711151123046875,-0.7458648681640625,264204.5504850417,1.953415876399889,2.232417154312078,-0.3353015686209004,264204.5454280417,1.185615296267037,0.5606809725327598,0.6442730880592346,1.987863779067993,2.21893310546875,-0.3970120847225189,-0.0357133150100708,-0.1161336898803711,-0.09929180145263672,XArbitraryCorrectedZVertical,0.1056951135396957,0.3876441419124603,0.5819151997566223,0.7070590257644653,0.4251633882522583,-0.6006174087524414,-0.677121102809906,23.57567977905273,-47.8363037109375,-28.30220603942871,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
